canonical_name,source_path,kind,core_authority,host_entrypoint,runtime_reachable,save_owner,test_surface,classification,risk,evidence_source,status_confidence
DoseLedgerHostSession,src/Host/DoseLedgerHostSession.cs,host session,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
DoseLedgerPanel,src/UI/DoseLedgerPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
DoseLedgerSave,Assets/Ashfall.Core/DoseLedgerSave.cs,save DTO/codec,yes,indirect,proven,system (CaptureState),Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
DoseLedgerSaveStore,src/Host/DoseLedgerSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
DoseLedgerSystem,Assets/Ashfall.Core/DoseLedgerSystem.cs,gameplay system,yes,direct,proven,DoseLedgerSaveStore,Core tests (6 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
DoseRegistersCatalog,Assets/Ashfall.Core/DoseRegistersCatalog.cs,catalog,yes,indirect,proven,none,Core tests (1 suites: DoseRegistersCatalogTests.cs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
DosimeterCalibrationSystem,Assets/Ashfall.Core/Radiation/DosimeterCalibrationSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: DosimeterCalibrationSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
DosimeterSave,Assets/Ashfall.Core/Radiation/Dosimeter.cs,save DTO/codec,yes,core-internal,proven (Core),none,none,CORE_INTERNAL,LOW,codebase scan,verified
DutyRosterAssignmentEngine,Assets/Ashfall.Core/DutyRoster/DutyRosterAssignmentEngine.cs,gameplay system,yes,core-internal,proven (Core),none,none,CORE_INTERNAL,LOW,codebase scan,verified
DutyRosterCatalog,Assets/Ashfall.Core/DutyRoster/DutyRosterCatalog.cs,catalog,yes,indirect,proven,none,Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
DutyRosterChartEngine,Assets/Ashfall.Core/DutyRoster/DutyRosterChartEngine.cs,gameplay system,yes,core-internal,proven (Core),none,none,CORE_INTERNAL,LOW,codebase scan,verified
DutyRosterDetailPanel,src/UI/DutyRosterDetailPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
DutyRosterHostSession,src/Host/DutyRosterHostSession.cs,host session,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
DutyRosterOverflowEngine,Assets/Ashfall.Core/DutyRoster/DutyRosterOverflowEngine.cs,gameplay system,yes,core-internal,proven (Core),none,none,CORE_INTERNAL,LOW,codebase scan,verified
DutyRosterPanel,src/UI/DutyRosterPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
DutyRosterSave,Assets/Ashfall.Core/DutyRoster/DutyRosterSave.cs,save DTO/codec,yes,indirect,proven,system (CaptureState),Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
DutyRosterSaveStore,src/Host/DutyRosterSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
DutyRosterSystem,Assets/Ashfall.Core/DutyRoster/DutyRosterSystem.cs,gameplay system,yes,direct,proven,DutyRosterSaveStore,Core tests (11 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
DwellerHeirloomCatalog,Assets/Ashfall.Core/Narrative/DwellerHeirloomCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: DwellerHeirloomCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
DwellerMedicalCatalog,Assets/Ashfall.Core/Narrative/DwellerMedicalCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: DwellerMedicalCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
EconomyDetailPanel,src/UI/EconomyDetailPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
EconomyHostSession,src/Host/EconomyHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
EconomyMarketPanel,src/Economy/EconomyMarketPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
EconomyOverlayPanel,src/UI/EconomyPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
EconomySaveStore,src/Host/EconomySaveStore.cs,save store,no (host),direct (host),proven,store (self),Core tests (1 suites: EconomyProbeTests.cs),LIVE_GODOT,LOW,codebase scan,verified
EncounterCatalog,Assets/Ashfall.Core/Narrative/EncounterCatalog.cs,catalog,yes,indirect,proven,none,Core tests (3 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
EncounterChoiceSaveStore,src/Host/EncounterChoiceSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
EpiloguePanel,src/UI/EpiloguePanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
EquipmentConditionHostSave,src/Host/EquipmentConditionHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Core tests (1 suites: NewSaveStoreChecksumSweepTests.cs),LIVE_GODOT,LOW,codebase scan,verified
EquipmentConditionHostSession,src/Host/EquipmentConditionHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
EquipmentConditionPanel,src/UI/EquipmentConditionPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
EquipmentConditionSaveStore,src/Host/EquipmentConditionHostSession.cs,host session,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
EquipmentConditionSystem,Assets/Ashfall.Core/EquipmentConditionSystem.cs,gameplay system,yes,direct,proven,EquipmentConditionSaveStore,Core tests (1 suites: EquipmentConditionSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
EquippedSave,Assets/Ashfall.Core/Inventory/Inventory.cs,save DTO/codec,yes,core-internal,proven (Core),system (CaptureState),none,CORE_INTERNAL,LOW,codebase scan,verified
EventDetailPanel,src/UI/EventDetailPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
EventsHostSession,src/Host/EventsHostSession.cs,host session,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
EventsLogPanel,src/UI/EventsLogPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ExcavationHostSave,src/Host/ExcavationSaveStore.cs,save store,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ExcavationHostSession,src/Host/ExcavationHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
ExcavationPanel,src/UI/ExcavationPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ExcavationSaveStore,src/Host/ExcavationSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
ExcavationSystem,Assets/Ashfall.Core/ExcavationSystem.cs,gameplay system,yes,direct,proven,ExcavationSaveStore,Core tests (3 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
ExpansionEnrichmentCatalog,Assets/Ashfall.Core/ExpansionEnrichmentCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (2 suites),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
ExpansionHostSession,src/Host/ExpansionHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Core tests (1 suites: ExpansionHubSaveTests.cs),LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
ExpansionHubSave,Assets/Ashfall.Core/ExpansionHubSave.cs,save DTO/codec,yes,indirect,proven,system (CaptureState),Core tests (5 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
ExpansionHubSaveStore,src/Host/ExpansionHubSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
ExpansionQuestHostSession,src/Host/ExpansionQuestHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ExpansionQuestSaveStore,src/Host/ExpansionQuestSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
ExpansionQuestSystem,Assets/Ashfall.Core/ExpansionQuestSystem.cs,gameplay system,yes,direct,proven,ExpansionQuestSaveStore,Core tests (1 suites: ExpansionQuestSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
ExpansionsHubPanel,src/UI/ExpansionsHubPanel.cs,ui panel,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ExpeditionCampPanel,src/UI/ExpeditionCampPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ExpeditionDetailPanel,src/UI/ExpeditionDetailPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ExpeditionHistoryPanel,src/UI/ExpeditionHistoryPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ExpeditionHostSave,src/Host/ExpeditionSaveStore.cs,save store,no (host),direct (host),proven,none,Core tests (1 suites: SaveStoreChecksumSweepTests.cs),LIVE_GODOT,LOW,codebase scan,verified
ExpeditionHostSession,src/Host/ExpeditionHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Core tests (1 suites: ExpeditionEncounterBridgeTests.cs),LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
ExpeditionPanel,src/UI/ExpeditionPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ExpeditionRadarPanel,src/UI/ExpeditionRadarPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ExpeditionSaveStore,src/Host/ExpeditionSaveStore.cs,save store,no (host),direct (host),proven,store (self),Core tests (2 suites),LIVE_GODOT,LOW,codebase scan,verified
ExpeditionSystem,Assets/Ashfall.Core/Expeditions/ExpeditionSystem.cs,gameplay system,yes,direct,proven,ExpeditionSaveStore,Core tests (6 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
ExpeditionVehicleSystem,Assets/Ashfall.Core/ExpeditionVehicleSystem.cs,gameplay system,yes,core-internal,proven (Core),system (CaptureState),Core tests (2 suites),CORE_INTERNAL,LOW — reconciled as CORE_INTERNAL / DIRECT_HOSTED,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
FactionDetailPanel,src/UI/FactionDetailPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
FactionHistoryPanel,src/UI/FactionHistoryPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
FactionIconCatalog,Assets/Ashfall.Core/UI/FactionIconCatalog.cs,catalog,yes,indirect,proven,none,Core tests (1 suites: FactionIconCatalogTests.cs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
FactionMatrixPanel,src/UI/FactionMatrixPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
FactionRadioEngine,Assets/Ashfall.Core/Radio/FactionRadioEngine.cs,gameplay system,yes,indirect,proven,none,Core tests (1 suites: FactionRadioCorpusTests.cs),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
FactionRadioHudPanel,src/Radio/FactionRadioHudPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
FactionStanceEngine,Assets/Ashfall.Core/Economy/FactionStanceEngine.cs,gameplay system,yes,indirect,proven,none,Core tests (5 suites),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
FactionWarContentCatalog,Assets/Ashfall.Core/YearOfAsh/FactionWarContentCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (4 suites),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
FactionWarSystem,Assets/Ashfall.Core/YearOfAsh/FactionWarSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
FactionsNarrativePanel,src/UI/FactionsNarrativePanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
FactionsPanel,src/UI/FactionsPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
FaunaEntomologyCatalog,Assets/Ashfall.Core/Narrative/FaunaEntomologyCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: FaunaEntomologyCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
FermentationYeastCatalog,Assets/Ashfall.Core/Narrative/FermentationYeastCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: FermentationYeastCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
FinalWishSystem,Assets/Ashfall.Core/Survivors/FinalWishSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: FinalWishSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
FireIncidentPanel,src/UI/FireIncidentPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
FringeCultsCatalog,Assets/Ashfall.Core/Narrative/FringeCultsCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: FringeCultsCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
GameDashboardPanel,src/UI/GameDashboardPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
GameOverPanel,src/UI/GameOverPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
GeigerCalibrationPanel,src/UI/GeigerCalibrationPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
GenerationalSuccessionEngine,Assets/Ashfall.Core/Legacy/GenerationalSuccessionEngine.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
GeologicalStrataCatalog,Assets/Ashfall.Core/Narrative/GeologicalStrataCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: GeologicalStrataCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
GhostTransmissionCatalog,Assets/Ashfall.Core/Narrative/GhostTransmissionCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: GhostTransmissionCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
GlassblowingDistillationCatalog,Assets/Ashfall.Core/Narrative/GlassblowingDistillationCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: GlassblowingDistillationCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
GoodsCatalog,Assets/Ashfall.Core/Economy/GoodsCatalog.cs,catalog,yes,indirect,proven,none,Core tests (7 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
GrainMillingCatalog,Assets/Ashfall.Core/Narrative/GrainMillingCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: GrainMillingCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
GreenhouseExpansionCatalog,Assets/Ashfall.Core/Greenhouse/GreenhouseExpansionCatalog.cs,catalog,yes,indirect,proven,none,Core tests (1 suites: GreenhouseSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
GreenhouseHostSession,src/Host/GreenhouseHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
GreenhousePanel,src/UI/GreenhousePanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
GreenhouseSaveStore,src/Host/GreenhouseHostSession.cs,host session,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
GreenhouseSystem,Assets/Ashfall.Core/Greenhouse/GreenhouseSystem.cs,gameplay system,yes,direct,proven,GreenhouseSaveStore,Core tests (4 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
GuiltInsomniaSystem,Assets/Ashfall.Core/Survivors/GuiltInsomniaSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: GuiltInsomniaSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
HoldfastCatalog,Assets/Ashfall.Core/HoldfastCatalog.cs,catalog,yes,indirect,proven,none,Core tests (4 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
HoldfastFactionsCatalog,Assets/Ashfall.Core/HoldfastFactionsCatalog.cs,catalog,yes,indirect,proven,none,CatalogIntegrityValidator (129 catalogs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
HoldfastFlavorCatalog,src/Host/HoldfastFlavorCatalog.cs,catalog,no (host),direct (host),proven,none,CatalogIntegrityValidator (129 catalogs),LIVE_GODOT,LOW,codebase scan,verified
HoldfastItemsCatalog,Assets/Ashfall.Core/HoldfastItemsCatalog.cs,catalog,yes,core-internal,proven (Core),none,CatalogIntegrityValidator (129 catalogs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
HoldfastNpcCatalog,Assets/Ashfall.Core/Narrative/HoldfastNpcCatalog.cs,catalog,yes,core-internal,proven (Core),none,CatalogIntegrityValidator (129 catalogs),CORE_INTERNAL,LOW,codebase scan,verified
HoldfastQuestSystem,Assets/Ashfall.Core/HoldfastQuestSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (3 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
HoldfastSave,Assets/Ashfall.Core/HoldfastSave.cs,save DTO/codec,yes,indirect,proven,system (CaptureState),Core tests (6 suites),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
HoldfastSaveStore,src/Host/HoldfastSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
HoldfastTerminalPanel,src/Host/HoldfastTerminalPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
HoldfastTradeSaveStore,src/Host/HoldfastTradeSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
HoldfastTradeSession,Assets/Ashfall.Core/HoldfastTradeSession.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: HoldfastTradeSessionTests.cs),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT.md,verified
HostEventHostSave,src/Host/HostEventSaveStore.cs,save store,no (host),direct (host),proven,none,Core tests (1 suites: BareSaveStoreSealTests.cs),LIVE_GODOT,LOW,codebase scan,verified
HostEventSaveStore,src/Host/HostEventSaveStore.cs,save store,no (host),direct (host),proven,store (self),Core tests (1 suites: BareSaveStoreSealTests.cs),LIVE_GODOT,LOW,codebase scan,verified
HydroBaronsSystem,Assets/Ashfall.Core/Muster/HydroBaronsSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
HydroGeologyCatalog,Assets/Ashfall.Core/Narrative/HydroGeologyCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: HydroGeologyCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
IceRoadSystem,Assets/Ashfall.Core/IceRoadSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (4 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
IdeologicalFrictionSystem,Assets/Ashfall.Core/Survivors/IdeologicalFrictionSystem.cs,gameplay system,yes,core-internal,proven (Core),system (CaptureState),Core tests (1 suites: IdeologicalFrictionSystemTests.cs),CORE_INTERNAL,LOW — reconciled as CORE_INTERNAL / DIRECT_HOSTED,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
IndependentBranchCatalog,Assets/Ashfall.Core/Factions/IndependentBranchCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (3 suites),CORE_INTERNAL,LOW,codebase scan,verified
IndependentBranchSave,Assets/Ashfall.Core/Factions/IndependentBranchSave.cs,save DTO/codec,yes,core-internal,proven (Core),system (CaptureState),Core tests (1 suites: IndependentBranchSystemTests.cs),CORE_INTERNAL,LOW,codebase scan,verified
IndependentBranchSystem,Assets/Ashfall.Core/Factions/IndependentBranchSystem.cs,gameplay system,yes,core-internal,proven (Core),codec,Core tests (2 suites),CORE_INTERNAL,LOW,codebase scan,verified
IndustrialRuinsCatalog,Assets/Ashfall.Core/Narrative/IndustrialRuinsCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: IndustrialRuinsCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
InventoryDetailPanel,src/UI/InventoryDetailPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
InventoryHostSave,src/Host/InventorySaveStore.cs,save store,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
InventoryHostSession,src/Host/InventoryHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
InventoryPanel,src/UI/InventoryPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
InventorySaveStore,src/Host/InventorySaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
IronRaidersSystem,Assets/Ashfall.Core/Muster/IronRaidersSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: MusterCurrentSystemsTests.cs),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
ItemCatalog,Assets/Ashfall.Core/Inventory/ProceduralItemInstance.cs,catalog,yes,indirect,proven,none,Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
JournalDetailPanel,src/UI/JournalDetailPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
JournalHostSave,src/Journal/JournalSaveStore.cs,save store,no (host),direct (host),proven,none,Core tests (1 suites: SaveStoreChecksumSweepTests.cs),LIVE_GODOT,LOW,codebase scan,verified
JournalHostSession,src/Host/JournalHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
JournalPanel,src/UI/JournalPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
JournalSave,Assets/Ashfall.Core/Journal/JournalSystem.cs,save DTO/codec,yes,indirect,proven,system (CaptureState),Core tests (4 suites),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
JournalSaveStore,src/Journal/JournalSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
JournalSystem,Assets/Ashfall.Core/Journal/JournalSystem.cs,gameplay system,yes,direct,proven,JournalSaveStore,Core tests (7 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
JournalWitnessPanel,src/Muster/JournalWitnessPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
KitchenNutritionHostSave,src/Host/KitchenNutritionHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Core tests (1 suites: NewSaveStoreChecksumSweepTests.cs),LIVE_GODOT,LOW,codebase scan,verified
KitchenNutritionHostSession,src/Host/KitchenNutritionHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_4.md,verified
KitchenNutritionPanel,src/UI/KitchenNutritionPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
KitchenNutritionSaveStore,src/Host/KitchenNutritionHostSession.cs,host session,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
KitchenNutritionSystem,Assets/Ashfall.Core/KitchenNutritionSystem.cs,gameplay system,yes,direct,proven,KitchenNutritionSaveStore,Core tests (1 suites: KitchenNutritionSystemTests.cs),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
KnowledgeBaseSave,Assets/Ashfall.Core/Journal/KnowledgeBase.cs,save DTO/codec,yes,core-internal,proven (Core),system (CaptureState),Core tests (2 suites),CORE_INTERNAL,LOW,codebase scan,verified
